,output 1,output 2,output 3,output 4
10,"{'sequence': '►► Tell Politicians to STICK IT with this FREE Item! ►►   ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►►   \r', 'labels': ['Trump'], 'scores': [0.8657284379005432]}","{'sequence': '#JoniErnst #KristiNoem #MitchMcConnell 4 Ds #MikeParson #Trump Downplay airborne virus Dance on 218,000+ 🇺🇸 Graves Deny responsibility Defund Police #MorningJoe #FoxNews #JohnJames #Kimreynolds Herd Immunity ☠️ #Corygardner Disgraceful #Rondesantis #Tomwolf Super-spreader Tie🤮  \r\n\r', 'labels': ['Trump'], 'scores': [0.9964077472686768]}","{'sequence': '#Trump is immune, recovered so quickly! #COVID19 is helpless! 😎🥰  \r\n\r', 'labels': ['Trump'], 'scores': [0.990288496017456]}","{'sequence': ' ""How many Black supporters does #tRump have, Mr. Cain?""  ""Nine, ni--oh, wait: two, two, two!""  \r\n\r', 'labels': ['Trump'], 'scores': [0.9848490357398987]}"
11,"{'sequence': "" I wonder which drugs #Trump takes?🤪  That's not only masses of burgers🍔🍔🍔  Maybe he's still on his #dexamethasone high🎃  Currently high.  But in November at the latest he'll be low😩        \r"", 'labels': ['Trump'], 'scores': [0.9834322333335876]}","{'sequence': '#Cube is a #trump tool!!!! How his legacy will read after this!!! Everything good flushed behind #trump!!!!  \r', 'labels': ['Trump'], 'scores': [0.990925669670105]}","{'sequence': "" Barrett is looking to TAKE the seat of The  #NotoriousRBG!🤦🏻\u200d♀️THIS is to whom #tRuMp and the #CorruptAndComplicitGOP are giving RBG's seat to!?! Someone who Cannot even remember the 5 freedoms of the #FirstAmendment and she's a judge!?! 😳\r"", 'labels': ['Trump'], 'scores': [0.6201369762420654]}","{'sequence': ""Looks like  products aren't too secure after all.  Mac shop owner who found #HunterBiden's emails is #Trump voter   \r"", 'labels': ['Trump'], 'scores': [0.9858257174491882]}"
12,"{'sequence': '#Ukraine  impeachment #FactCheck ‘how’ often #Trump &amp;  lied!!!     \r', 'labels': ['Trump'], 'scores': [0.9971655011177063]}","{'sequence': "" How many times did you vote against the ACA ? Over 20 at least. You are tied at the hip to #Trump and deserve to lose. You haven't looked after TX for a long time . We might lose health care cuz of you     \r"", 'labels': ['Trump'], 'scores': [0.9525161385536194]}","{'sequence': 'In Iowa, They are playing  IN THE AIR TONIGHT at a #Trump Rally  :O  #PhilCollins you okay with that ???\r\n\r', 'labels': ['Trump'], 'scores': [0.8914480805397034]}","{'sequence': 'Trump begging for suburb women to like him sounded very quid pro quoy~~right?   \r', 'labels': ['Trump'], 'scores': [0.9848425984382629]}"
13,"{'sequence': ""Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more! 🇺🇲        \r\n\r"", 'labels': ['Trump'], 'scores': [0.4818798899650574]}","{'sequence': 'I will take child named #Biden with #JoeBiden blood over a child named Trump with #DonaldTrump blood any day of the week.  \r', 'labels': ['Trump'], 'scores': [0.6445745825767517]}","{'sequence': '  Bc it’s garbage #RudyColludy &amp; Co cooked up. Desperate to give Trump his Oct surprise! 😆 Extorting Zelensky failed, Rudy’s Solomon plot failed, your DOJ hit jobs failed... gotta do something, right?! NYPost has no standards thus no problem printing fake or stolen shit. \r\n\r', 'labels': ['Trump'], 'scores': [0.9707847833633423]}","{'sequence': '   What a load of rubbish. Black communities have had it hard for many years now. Not just the last 4 years. Are u winding me up. Most black films are minimum 20 years old and Tupac was screaming it from the 90s.  So pleasehas everyone in the world lost their memory  \r', 'labels': ['Trump'], 'scores': [0.20533312857151031]}"
14,"{'sequence': ' #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied \r\n\r', 'labels': ['Trump'], 'scores': [0.9352193474769592]}","{'sequence': 'How does anyone read this, know it’s sincere, then side with #trump on any race- or police-related matter?   cc   \r\n\r', 'labels': ['Trump'], 'scores': [0.9908429980278015]}","{'sequence': '#DOJ would rather protect #Whitmer than #Trump!  \r', 'labels': ['Trump'], 'scores': [0.754601776599884]}","{'sequence': '#Trump said he would do it. He hasn’t and won’t do it. Y’all know good as well that man is a LIAR! That’s the ONLY thing he’s good at.   \r', 'labels': ['Trump'], 'scores': [0.9966062903404236]}"
15,"{'sequence': ""#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO.   \r"", 'labels': ['Trump'], 'scores': [0.9912856817245483]}","{'sequence': '   Incompetent. Just like everyone else involved in the #trump clown car. \r', 'labels': ['Trump'], 'scores': [0.9957529306411743]}","{'sequence': 'Looking at the 2016 #ElectionDay  impact on #Bitcoin  valuation, it\'s strange and funny to see the headlines stating #BTC ""SURGED"" a whopping $30 following the results. I think another 4 years of #DonaldTrump could benefit the immediate price this year as well. Thoughts?\r\n\r', 'labels': ['Trump'], 'scores': [0.8728029131889343]}","{'sequence': 'Translation  If This Was #Trump And Not #HunterBiden We Would Totally Be Ok With It! If It Was #Trump #NancyPelosi Would Already Have #Impeachment 2.0 or 3.0 Papers Drawn Up And We Would Make It Trend Number 1. If It Was       \r', 'labels': ['Trump'], 'scores': [0.9580377340316772]}"
16,"{'sequence': 'When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.         \r\n\r', 'labels': ['Trump'], 'scores': [0.91426682472229]}","{'sequence': ' #TRUMP &amp; Enablers Need to Face the CONSEQUENCEs of his **FAILED** #COVID19 Response 👇👇👇👇👇👇👇  \r', 'labels': ['Trump'], 'scores': [0.9980430603027344]}","{'sequence': ""Comedian #NoelCasler worked with #Trump on the tv show,  TheApprentice.  He says that #Trump #SNORTS  #Adderall to get high, then takes downers.  A couple of times a chunk of white stuff did fly from Trump's nose?? Drug issue?  \r\n\r"", 'labels': ['Trump'], 'scores': [0.9967974424362183]}","{'sequence': ""#Twitter is blocking certain #CDC data since they don't agree with it.  Both #Facebook and Twitter are censoring the truth about #JoeBiden and the #BidenHarris ticket. Vote #Trump.  Stand up for  \r"", 'labels': ['Trump'], 'scores': [0.9853399991989136]}"
17,"{'sequence': ""#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.  And that check? It's totally in the mail, right Don?\r\n\r"", 'labels': ['Trump'], 'scores': [0.9898180365562439]}","{'sequence': '#Trump: One of the most important issues for Iowa is...that thing with Ethanol, you remember Ethanol? Biden wants to get rid of fossil fuels! And Kamala and did Pence beat her or what? He just wiped the floor with her. We fought hard to keep ethanol going in the pandemic!  What?\r\n\r', 'labels': ['Trump'], 'scores': [0.9830889701843262]}","{'sequence': 'Ivanka #trump why do u think they call him the Orange Clown  \r', 'labels': ['Trump'], 'scores': [0.9916413426399231]}","{'sequence': 'UH, NEVER MIND  Remember #TXDemocrats who fear-mongered in-person voting as “dangerous” &amp; “discriminatory”?   Filed lawsuits &amp; accused #Trump #GOP of cruelty &amp; voter suppression.   Now...wait for it...they’re boasting about early voting turn-out.  \r\n\r', 'labels': ['Trump'], 'scores': [0.22193603217601776]}"
18,"{'sequence': '  #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse!  \r', 'labels': ['Trump'], 'scores': [0.9858333468437195]}","{'sequence': ""  Nobody was more experienced that Hillary Clinton and she couldn't handle #DonaldTrump. Yes Biden is weak, #Limited where the Trump administration is strong and \r\n\r"", 'labels': ['Trump'], 'scores': [0.9600312113761902]}","{'sequence': '#Trump: They always ask me such hard questions! Everybody else gets easy, but the things they ask me, you couldn\'t even. It\'s so complicated.  In the one debate so far Trump was literally asked ""which parts of the environment do you like?""\r\n\r', 'labels': ['Trump'], 'scores': [0.985652506351471]}","{'sequence': 'watching the legacy media and big tech work in concert to push back and censor the #HunterBiden #JoeBiden #UkraineGate story it makes you realize the fact #Trump has a shot at this election is such a testament to independent media.\r', 'labels': ['Trump'], 'scores': [0.6836867928504944]}"
19,"{'sequence': '  #Trump #Covid19 #TrumpLiesAmericansDie  Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.”    \r\n\r', 'labels': ['Trump'], 'scores': [0.9887882471084595]}","{'sequence': "" Ditto. It's the #TrumpEffect. Anyone compared to #Trump looks good.\r"", 'labels': ['Trump'], 'scores': [0.8547130227088928]}","{'sequence': 'Not a mask to be seen in the crowd, except behind #Trump where the cameras will show. I mean, sneaky much??? 🙄  \r\n\r', 'labels': ['Trump'], 'scores': [0.8956500887870789]}","{'sequence': "". has bragged about being a terrible father in the past. He's proving once again that he wasn't kidding. \r"", 'labels': ['Trump'], 'scores': [0.795638382434845]}"
20,"{'sequence': ""   You right  Censorship should be Condemned  Cc Trump and the GOP  Not the American way.  Now let's redo Trump's Impeachment this time without the CENSORSHIP...       \r"", 'labels': ['Trump'], 'scores': [0.9554511308670044]}","{'sequence': '#Trump has been banging on about the #China #Biden  connection from the outset but was played down by #MSM as usual!  \r', 'labels': ['Trump'], 'scores': [0.9678366780281067]}","{'sequence': ""  We all are. #Trump never will. He can't piss off his buddy, Putin.\r\n\r"", 'labels': ['Trump'], 'scores': [0.9490967988967896]}","{'sequence': '   I’m waiting until #November3rd, goin 2 a #PollingPlace &amp; mailing in @ a #PostOffice (NOT a ballot box). I’ve #Voted #Trump 4 yrs ago &amp; doin so again on #ElectionDay. No shenanigans I’m committing. My choice, my rite, my life. I always #SaveAmericaVoteRed.   \r\n\r', 'labels': ['Trump'], 'scores': [0.7091120481491089]}"
21,"{'sequence': ' just quoted China’s Xu, Russia’s Putin and North Korea’s Kim as leaders who are 100% No mention of leaders of Allied countries, this is the president of the USA?     \r\n\r', 'labels': ['Trump'], 'scores': [0.916863203048706]}","{'sequence': ""Thought you might want this for a lawsuit.  I tried to tweet out the link from the NY Post article &amp; was shown this.  Twitter &amp; partners?  Who are their partners? Also, I couldn't even save the tweet as a draft. Had to discard completely      \r\n\r"", 'labels': ['Trump'], 'scores': [0.6847186088562012]}","{'sequence': ""Might be the last time I watch  unless they change the time of #Trump's #TownHall.  \r"", 'labels': ['Trump'], 'scores': [0.9701099395751953]}","{'sequence': 'P. A. T. H. E. T. I. C.  All #Trump has is insults &amp; lies.  \r', 'labels': ['Trump'], 'scores': [0.9191951751708984]}"
22,"{'sequence': ""SHAME on  for her ridiculous ad for  -- saying he's fighting for others.  Lady G is ONLY fighting to retain power -- and he is SPINELESS when it comes to controlling #Trump.   IT IS TIME FOR LINDESY TO GO!!!   \r"", 'labels': ['Trump'], 'scores': [0.9518621563911438]}","{'sequence': 'Which fly gets #Trump?  \r', 'labels': ['Trump'], 'scores': [0.9084980487823486]}","{'sequence': 'When #DonTheCon #DonaldTrump says, ""You know it and I know it,"" will  have the wherewithal to stand up and say, ""No, Mr #President I do not know it?"" We\'ll soon find out    \r\n\r', 'labels': ['Trump'], 'scores': [0.9858853220939636]}","{'sequence': ""#Trump says children don't transmit SARS-CoV-2, but science says otherwise. A study out of Poland found that asymptomatic children under the age of 3 may effectively transmit SARS-CoV-2 to adults and other children.     \r\n\r"", 'labels': ['Trump'], 'scores': [0.9796982407569885]}"
23,"{'sequence': '  Grab  by the balls &amp; chuck the bastard out the door onto #PennsylvaniaAvenue &amp; form a line &amp; everybody gets to kick #DonaldTrump in the nuts! Please note 1 kick per person only!  \r', 'labels': ['Trump'], 'scores': [0.9931017756462097]}","{'sequence': ' The #Trump Administration has just announced herd immunity is their new strategy. Estimated 2 million + will die if Trump is re-elected.\r', 'labels': ['Trump'], 'scores': [0.8318272829055786]}","{'sequence': ' Let’s not forget  is owned by #Trump ally Rupert Murdoch, who has a long and checkered history of influencing elections in UK and Australia with his gutter press. Don’t believe the hype..   \r\n\r', 'labels': ['Trump'], 'scores': [0.9849072694778442]}","{'sequence': 'NO!  is #ImpeachedForever. The #Senate under #MitchMcConnell REFUSED to Remove #Trump. He has NOT been acquitted of anything.  \r', 'labels': ['Trump'], 'scores': [0.9215759038925171]}"
24,"{'sequence': 'Ice Cube is teaming up to work with President Trump in developing The Platinum Plan.            \r', 'labels': ['Trump'], 'scores': [0.9094558358192444]}","{'sequence': ' Hey #trump you #POS U got a kid home #tested #positive 4 #COVID19 #COVID19  &amp; your at your own #mass #superspreader #rally!No fkn shock #pathetic &amp; anyone #Suppose 2 B A #Patriot would never be ok w none of it or support it! #Hypocrites talked about # \r', 'labels': ['Trump'], 'scores': [0.9985455870628357]}","{'sequence': 'i cant think of a better way for trump to show how he hates seniors, oh wait, hes killed hundreds of thousands of seniors with his disastrous pandemic response.   a covid death is a lonely one, you cant be with your family to ease your passing.   fuck   \r\n\r', 'labels': ['Trump'], 'scores': [0.9706804752349854]}","{'sequence': '#Trump moves from using Barron to promote his ""open up the schools"" BS to bragging about how many doctors were treating him for Covid and how out of everybody, all those important doctors, HE was the one who knew best how to treat and cure it.\r\n\r', 'labels': ['Trump'], 'scores': [0.9602727890014648]}"
25,"{'sequence': "" Lemme make sure I get this right ... sooo ... *checks notes* ... the 1st #tRump supporter vandalized the property of the 2nd #tRump supporter,  because the 1st #tRump supporter believed that 2nd #tRump supporter was making #TrumpCovid19 look 'too racist'?   Did I get it all??  \r\n\r"", 'labels': ['Trump'], 'scores': [0.8343615531921387]}","{'sequence': ""Once #Trump is re-elected the #media #fakenews #Msm #SocialMedia will lose it &amp; real Americans can't wait!      \r"", 'labels': ['Trump'], 'scores': [0.9890314340591431]}","{'sequence': ""    Should one be entitled of free health care when one goes to #trump #HerdInfection rally and ends up in #ICU Should #Medicaid use facial recognition to identify it's self-afflicted indebted recipients?  \r"", 'labels': ['Trump'], 'scores': [0.883300244808197]}","{'sequence': 'Iowa, the 4th-highest state for rate of COVID-19 infections, surpasses 100,000 cases as Trump plans rally there     Iowa Trump Rally        \r\n\r', 'labels': ['Trump'], 'scores': [0.9759193062782288]}"
26,"{'sequence': '#BlacksForTrump  #BlackVoicesForTrump  #BidenIsARacist  #BlackFathersMatter  #BlackVotersMatter  Vote  down ticket &amp; give #Trump somebody to work with    \r', 'labels': ['Trump'], 'scores': [0.9953819513320923]}","{'sequence': '  Stop spreading lies and they won’t lock you out. But you decided to work for #Trump. You, dearie, are NOT above the law.\r\n\r', 'labels': ['Trump'], 'scores': [0.8613588213920593]}","{'sequence': ""#Trump outmaneuvers Grandpa Groper #JoeBiden and liberal babies at #NBC are crying along with liberals living in mommy's basement across the country.   \r"", 'labels': ['Trump'], 'scores': [0.9896118640899658]}","{'sequence': '           Hey Everyone, let the #NBC top sponsors know You are boycotting them!!! NBC caved into #Trump and will air his TownHall around same time as #Biden has his tonight.  Anything for ratings!!!!       \r\n\r', 'labels': ['Trump'], 'scores': [0.9730316400527954]}"
27,"{'sequence': ' New respect here for .   The vile, hateful ugliness of #Trump’s #LawAndOrder America.\r\n\r', 'labels': ['Trump'], 'scores': [0.973558783531189]}","{'sequence': '#CongressmanMassie (#ThomasMassie) on #coronavirus #governmentmandates #Trump #SCOTUS #AmyConeyBarrett #democracy v #republic...  \r', 'labels': ['Trump'], 'scores': [0.9947097301483154]}","{'sequence': '  Lock yourself, #Covid19 will get you! #Trump recovered quickly and looks very strong and healthy!\r\n\r', 'labels': ['Trump'], 'scores': [0.9917932152748108]}","{'sequence': ""Less than 2 weeks before Election Day, in 2016 #Trump\u202fwrote his campaign a $10 million check, publicly calling it a loan. Federal law enforcement officials suspected, that money moving through the #Egyptian bank could connect to Trump's   \r\n\r"", 'labels': ['Trump'], 'scores': [0.8905497193336487]}"
28,"{'sequence': 'Who does #trump owe 420 million dollars to? What are the terms? Who is #DonaldTrump beholden to? WE DEMAND TO KNOW!       \r', 'labels': ['Trump'], 'scores': [0.9798002243041992]}","{'sequence': ' #Trump has gone FULL #PUTIN !!\r', 'labels': ['Trump'], 'scores': [0.9862974882125854]}","{'sequence': '#Trump is trying to make fun of Joe wanting to raise his hand about something and then says ""I dunno about that. How about the fracking thing? Let\'s talk about fracking.""  You just like the word. You don\'t actually know what it means.\r\n\r', 'labels': ['Trump'], 'scores': [0.8549162745475769]}","{'sequence': '                   Hey Everyone, let the #NBC top sponsors know You are boycotting them!!! NBC caved into #Trump and will air his TownHall around same time as #Biden has his tonight.  Anything for ratings!!!!       \r\n\r', 'labels': ['Trump'], 'scores': [0.9737209677696228]}"
29,"{'sequence': '#JimJordan, #DevinNunes, #MattGaetz, #JohnCornyn, #BillBarr, #DonaldTrump &amp; the rest who railed about it, should be indicted &amp; go to jail for perpetuating a fraud against the #American people over the perfectly legal ""unmasking"" of General Flynn. They make me sick!  #LockThemUp!  \r\n\r', 'labels': ['Trump'], 'scores': [0.9953950047492981]}","{'sequence': '#Trump Promises “#PlatinumPlan” for Black Americans  \r', 'labels': ['Trump'], 'scores': [0.9951395392417908]}","{'sequence': ' Te bloquea a ti pero al presidente #Trump le Twittea y le Twittea _ uff _ es incansable.\r', 'labels': ['Trump'], 'scores': [0.99615877866745]}","{'sequence': ' #Trump supporters are always so angry\r', 'labels': ['Trump'], 'scores': [0.9524027109146118]}"
30,"{'sequence': '😬 The emperor will have no clothes by the end of the rally. 🤢   \r', 'labels': ['Trump'], 'scores': [0.9911673665046692]}","{'sequence': '#Trump #Trump2020 is truly a disgusting 🤮 human! Watch The 11th Hour With Brian Williams Highlights: October 13 | MSNBC   via   \r', 'labels': ['Trump'], 'scores': [0.9978944063186646]}","{'sequence': ' Newsflash genius: neither Biden nor Harris lock black people up in cages, and ""Cube"" isn\'t advocating for Black People. Not working with #trump. He\'s just destroying his credibility with his own people by allowing himself to be used. \r\n\r', 'labels': ['Trump'], 'scores': [0.907808780670166]}","{'sequence': '             Hey Everyone, let the #NBC top sponsors know You are boycotting them!!! NBC caved into #Trump and will air his TownHall around same time as #Biden has his tonight.  Anything for ratings!!!!       \r\n\r', 'labels': ['Trump'], 'scores': [0.9759264588356018]}"
31,"{'sequence': ' good for you.  only care if you toe the line and follow their narrative. They do not care if they help the under served as they claim. #DonaldTrump policies helped black America and they cannot give him any credit.  policies have never helped!  \r', 'labels': ['Trump'], 'scores': [0.47082412242889404]}","{'sequence': 'Hey           ..🖕🏻Did you censor the #SteeleDossier or Stolen #Trump tax info? #EnemyOfThePeople You will lose. You will be defeated. \r', 'labels': ['Trump'], 'scores': [0.9250065088272095]}","{'sequence': 'Under Section 230 Twitter and Facebook limit Rudy Giuliani inspired fake email published by New York Post as an effort to harm #JoeBiden, as #trump administration continues to cheat in 2020 election, hoping to protect donald trump for four more years from criminal prosecution.\r\n\r', 'labels': ['Trump'], 'scores': [0.9658135771751404]}","{'sequence': '                   Hey Everyone, let the #NBC top sponsors know You are boycotting them!!! NBC caved into #Trump and will air his TownHall around same time as #Biden has his tonight.  Anything for ratings!!!!       \r\n\r', 'labels': ['Trump'], 'scores': [0.9737209677696228]}"
